站號,站名,海拔高度(m),經度,緯度,城市,地址,資料起始日期,撤站日期,備註,原站號,新站號
C0D570,香山,15,120.9055,24.7469,新竹市,香山區長興街路旁,2007/12/01,　,　,　,　
C0D580,寶山,120,121.0252,24.735,新竹縣,寶山鄉新湖路280號旁,2007/12/01,　,　,　,　
C0D590,新豐,143,120.9772,24.8707,新竹縣,新豐鄉上坑村坑子口102-1號(小叮噹科學遊樂區內),2007/10/01,　,原(C0C580)站因縣市代碼不符，於2008/2/25重新編碼為(C0D590)站。,C0C580,　
C0D650,湖口,97,121.0436,24.9048,新竹縣,湖口鄉信勢村三鄰成功路109號(湖口消防分隊),2013/10/01,　,　,　,　
C0D660,新竹市東區,65,120.9869,24.7987,新竹市,東區光復路二段321號（工研院光復院區6館）,2014/11/01,　,　,　,　
C0E420,竹南,19,120.8889,24.709,苗栗縣,竹南鎮大埔里仁愛路1092號(竹南鎮大埔國民小學內),1987/06/01,　,　,　,　
C0E430,南庄,258,121.0002,24.6018,苗栗縣,南庄鄉東村文化路3號(南庄國小校園內),1987/06/01,　,　,　,　
C0E520,大湖,320,120.8709,24.4149,苗栗縣,大湖鄉大寮村5鄰竹高屋34-1號附近,2011/11/01,　,原(C1E520)站因擴充為氣象站，於2011/11/1升級為(C0E520)站。,C1E520,　
C0E530,三義,341,120.766,24.4109,苗栗縣,三義鄉廣盛村10鄰122號(三義高中內),1990/07/21,　,　,　,　
C0E540,後龍,32,120.7839,24.6065,苗栗縣,後龍鎮後龍溪橋旁高地,2011/11/01,　,原(C1E540)站因擴充為氣象站，於2011/11/1升級為(C0E540)站。,C1E540,　
C0E550,明德,84,120.8854,24.5835,苗栗縣,頭屋鄉明德水庫水利工作站屋頂上,2011/11/01,　,原(C1E550)站因擴充為氣象站，於2011/11/1升級為(C0E550)站。,C1E550,　
C0E590,通霄,40,120.7046,24.4719,苗栗縣,通霄鎮城北里1鄰13號(通霄鎮城中國民小學內),2011/11/01,　,原(C1E590)站因擴充為氣象站，於2011/11/1升級為(C0E590)站，原為土城雨量站。,C1E590,　
C0E610,馬都安,850,120.9302,24.4513,苗栗縣,泰安鄉錦水村(由泰安開車約2小時瞭望台旁),1990/07/21,　,　,　,　
C0E730,頭份,26,120.9122,24.6882,苗栗縣,頭份市中正路219號(苗栗縣頭份鎮頭份國小校園內),2007/12/01,　,　,　,　
C0E740,造橋,27,120.8648,24.6371,苗栗縣,造橋鄉造橋村14鄰3號(造橋國小),2011/11/01,　,　,　,　
C0E750,苗栗,62,120.8246,24.5646,苗栗縣,苗栗市中正路241號(建功國小),2011/11/01,　,　,　,　
